date,JPMC,BOFA,CITI,WFC,PNC,COF
7/26/2019,116.22,30.77,72.16,49.3,142.8,98.08
7/25/2019,115.71,30.34,71.39,48.09,140.84,95.9
7/24/2019,116.83,30.67,73.01,48.45,141.33,96.92
7/23/2019,116.36,30.25,71.99,47.2,140.68,94.34
7/22/2019,114.27,29.57,71.11,46.48,139.57,91.72
7/19/2019,113.54,29.4,70.92,46.03,138.83,90.65
7/18/2019,114.67,29.48,71.79,45.82,138.88,88.76
7/17/2019,113.99,29.19,70.82,45.21,139.68,88.19
7/16/2019,115.12,28.99,71.32,45.3,138.76,89.93
7/15/2019,113.9,29.22,71.71,46.71,140.2,89.75
7/12/2019,115.3,29.45,71.77,47.36,142.19,91.07
7/11/2019,114.1,29.36,71.61,47.14,141.46,90.71
7/10/2019,113.02,29.02,71.13,47.15,140.05,90.16
7/9/2019,113.35,29.35,71.56,47.83,140.79,92.29
7/8/2019,112.87,29.2,71.13,47.53,140.74,91.8
7/5/2019,113.49,29.26,71.4,47.77,141.57,92.54
7/3/2019,112.82,29.05,70.85,47.66,140.67,92.99
7/2/2019,113.8,29.15,70.44,47.23,139.59,91.1
7/1/2019,113.68,29.42,70.74,47.69,139.8,92.04
6/28/2019,111.8,29,70.03,47.32,137.28,90.74
6/27/2019,108.84,28.21,68.15,46.29,134.66,89.33
6/26/2019,108.48,27.91,67.22,45.8,133.64,89.38
6/25/2019,107.76,27.76,66.54,46.14,133.36,88.82
6/24/2019,108.66,27.98,67.41,46.27,133.67,88.72
6/21/2019,109.44,28.12,67.97,46.89,133.17,91.52
6/20/2019,110.19,28.27,68.1,45.86,132.9,91.63
6/19/2019,109.91,28.32,67.59,45.65,133.25,90.48
6/18/2019,110.71,28.62,67.98,46.1,134.43,91.29
6/17/2019,109.22,27.93,66.54,45.27,132.54,89.95
6/14/2019,109.82,28.04,67.48,45.59,135.21,90.57
6/13/2019,109.54,27.94,67.08,45.29,133.73,90.77
6/12/2019,109.27,27.95,66.81,44.91,134.1,90.55
6/11/2019,110.68,28.24,67.88,46.26,135.18,91.34
6/10/2019,110.34,28.07,67.12,46.27,134.38,90.43
6/7/2019,109.16,27.53,65.69,45.63,132.88,90.26
6/6/2019,110.37,27.88,66.47,45.92,133.75,90.36
6/5/2019,110.13,27.91,65.78,45.86,134.25,89.9
6/4/2019,109.74,27.92,65.88,45.68,133.4,89.92
6/3/2019,106.46,26.68,62.61,44.52,128.97,87.08
5/31/2019,105.96,26.6,62.15,44.37,127.26,85.87
5/30/2019,107.06,27.16,63.61,45.05,128.61,88.35
5/29/2019,108.22,27.75,63.71,45.48,130.03,89.44
5/28/2019,108.52,27.9,63.79,45.59,129.64,88.75
5/24/2019,109.71,28.18,64.39,46.17,131.97,90.78
5/23/2019,108.64,27.76,63.9,45.56,129.97,89.25
5/22/2019,110.82,28.49,64.66,46.1,132.02,91.26
5/21/2019,111.73,28.69,66.08,46.33,132.08,92.2
5/20/2019,111.35,28.4,64.96,45.45,131.34,91.38
5/17/2019,110.77,28.4,65.07,45.7,130.22,90.54
5/16/2019,111.31,28.59,65.98,45.9,131.1,90.98
5/15/2019,109.9,28.29,64.87,45.84,128.68,89.38
5/14/2019,110.32,28.62,65.26,46.49,129.76,89.26
5/13/2019,109.45,28.25,64.38,46.33,128.45,87.54
5/10/2019,112.51,29.58,67.9,47.15,132.44,90.39
5/9/2019,112.52,29.71,67.63,46.74,131.94,90.2
5/8/2019,112.61,29.8,68.22,47,131.99,90.22
5/7/2019,113.21,29.92,68.16,47.17,132.95,91.6
5/6/2019,115.09,30.47,70.41,48.43,136.27,93.61
5/3/2019,116.12,30.71,70.67,48.65,137.1,94.26
5/2/2019,115.41,30.5,70.36,48.3,135.94,92.92
5/1/2019,115.16,30.26,69.96,48.23,135.21,92.58
4/30/2019,116.05,30.58,70.7,48.41,136.93,92.83
4/29/2019,116.12,30.77,71.03,48.27,137.01,92.38
4/26/2019,114.47,30.35,69.51,47.96,136.09,93.73
4/25/2019,113.61,30.08,68.73,47.51,134.24,88.05
4/24/2019,113.55,30.02,68.83,47.48,134.17,87.79
4/23/2019,113.74,30.07,69.2,47.35,134.2,88.19
4/22/2019,113.6,30.05,69.09,47.26,133.89,87.61
