date,JPMC,BOFA,CITI,WFC,PNC,COF
7/26/2019,12800360,46978790,10625930,21641760,1233059,3221299
7/25/2019,10138370,43251940,15698310,20562040,1557165,2427712
7/24/2019,10011030,53171890,12512880,29357160,1981181,3944951
7/23/2019,12752170,64030350,11804280,21150180,1995593,2275949
7/22/2019,9061487,31227220,7931629,17974070,1671347,2917135
7/19/2019,10402770,44863160,11184660,21848290,1853939,4117997
7/18/2019,9400654,49503490,13409940,19412550,2004837,2882273
7/17/2019,13120920,84958260,12278180,24502070,2901831,1875014
7/16/2019,16945000,54920410,16516630,37548250,3338413,2270377
7/15/2019,12946600,46462060,23365830,21338430,2534868,2104772
7/12/2019,10783400,29632860,15355690,12792580,1569224,1499811
7/11/2019,11595170,37376800,10739410,19751360,1505694,1491990
7/10/2019,9242253,40574770,12153200,12784890,1466448,2495522
7/9/2019,8947322,28750090,9477650,12595050,1838385,1982499
7/8/2019,6917209,30924430,10196330,13189260,1568619,1409756
7/5/2019,7929536,33092030,9107470,10801600,1281029,1107026
7/3/2019,6849443,26642290,7632411,10438420,892420,1296971
7/2/2019,10182630,32271510,10273830,12107290,1828238,1637912
7/1/2019,12762480,48143160,13596360,15122090,2131972,1733430
6/28/2019,21634680,101856900,20388680,31030910,3171725,3156333
6/27/2019,10906610,35575630,11989080,13391600,1504289,1439617
6/26/2019,10324610,42312290,13654100,17106750,1387522,1559021
6/25/2019,18660110,46901330,14205640,20813980,1446847,1859162
6/24/2019,13039580,40046380,11223710,21854440,1515295,3038173
6/21/2019,27089550,69444000,19502530,39186160,2480174,3195382
6/20/2019,13638200,60887200,15557250,19205210,2128648,1365347
6/19/2019,13126540,61953470,12335110,17787580,1521800,1715537
6/18/2019,11057340,60170660,12199060,18611120,1781087,2205596
6/17/2019,8128583,33410070,8136157,13420380,1710367,1416819
6/14/2019,9077685,37322100,8902164,16147540,1757888,1310012
6/13/2019,8406903,33404150,9453801,15629460,2019474,1313313
6/12/2019,9670511,33528940,9878318,22470400,1172941,1011022
6/11/2019,9847999,38691760,9800911,15078320,1248734,1194438
6/10/2019,11380600,48305840,10994670,15242690,1015481,1402828
6/7/2019,10618930,51317200,11674190,14980030,1619817,1296185
6/6/2019,8726664,38633630,10868910,16020500,1250982,1474467
6/5/2019,8340484,44874390,12536280,13705360,1620422,1666696
6/4/2019,12858590,58426410,17743100,21082050,1503241,2047351
6/3/2019,11680750,50109940,19636780,20172450,1711282,2050023
5/31/2019,10952860,68304180,19968870,17540550,1543064,2785426
5/30/2019,10367820,58649280,13570910,13775880,1185438,1376388
5/29/2019,9966365,49818900,13836270,16058800,1640365,1604986
5/28/2019,11665580,44273430,14727410,19984800,1944887,2016479
5/24/2019,8537252,35524410,9715596,13425460,1162324,1175749
5/23/2019,14557970,59772860,15042240,17643680,2026791,1584288
5/22/2019,7918898,29177630,12564930,13155040,1166387,1117329
5/21/2019,7967976,39258740,11051520,18416380,988717,1859198
5/20/2019,8518244,41717560,11605910,18854330,1153236,1460123
5/17/2019,9570477,43772540,11503490,22273630,1351552,1518108
5/16/2019,9672729,42791460,10573070,20764060,1508876,1631008
5/15/2019,10142050,51973170,14570890,20123350,1609208,1899956
5/14/2019,10503670,52216080,15096440,21267560,1088457,1640661
