date,NASDAQ,DOW,BANK
7/28/2010,2264.560059,10497.87988,1737.650024
7/29/2010,2251.689941,10467.16016,1738.73999
7/30/2010,2254.699951,10465.94043,1731.569946
8/2/2010,2295.360107,10674.37988,1764.189941
8/3/2010,2283.52002,10636.37988,1749.5
8/4/2010,2303.570068,10680.42969,1753.119995
8/5/2010,2293.060059,10674.98047,1727.47998
8/6/2010,2288.469971,10653.55957,1707.160034
8/9/2010,2305.689941,10698.75,1727.810059
8/10/2010,2277.169922,10644.25,1705.859985
8/11/2010,2208.629883,10378.83008,1643.680054
8/12/2010,2190.27002,10319.9502,1632.73999
8/13/2010,2173.47998,10303.15039,1617.949951
8/16/2010,2181.870117,10302.00977,1626.540039
8/17/2010,2209.439941,10405.84961,1643.719971
8/18/2010,2215.699951,10415.54004,1639.48999
8/19/2010,2178.949951,10271.20996,1598.319946
8/20/2010,2179.76001,10213.62012,1598.22998
8/23/2010,2159.629883,10174.41016,1577.97998
8/24/2010,2123.76001,10040.4502,1558.900024
8/25/2010,2141.540039,10060.05957,1563.430054
8/26/2010,2118.689941,9985.80957,1547.449951
8/27/2010,2153.629883,10150.65039,1583.920044
8/30/2010,2119.969971,10009.73047,1536.800049
8/31/2010,2114.030029,10014.71973,1549.290039
9/1/2010,2176.840088,10269.46973,1598.709961
9/2/2010,2200.01001,10320.09961,1605.569946
9/3/2010,2233.75,10447.92969,1634.959961
9/7/2010,2208.889893,10340.69043,1593.040039
9/8/2010,2228.870117,10387.00977,1606.290039
9/9/2010,2236.199951,10415.24023,1618.560059
9/10/2010,2242.47998,10462.76953,1622.040039
9/13/2010,2285.709961,10544.12988,1664.72998
9/14/2010,2289.77002,10526.49023,1646.160034
9/15/2010,2301.320068,10572.73047,1645.23999
9/16/2010,2303.25,10594.83008,1627.52002
9/17/2010,2315.610107,10607.84961,1632.140015
9/20/2010,2355.830078,10753.62012,1670.959961
9/21/2010,2349.350098,10761.03027,1651.25
9/22/2010,2334.550049,10739.30957,1619.630005
9/23/2010,2327.080078,10662.41992,1600.060059
9/24/2010,2381.219971,10860.25977,1648.280029
9/27/2010,2369.77002,10812.04004,1625.790039
9/28/2010,2379.590088,10858.13965,1641.77002
9/29/2010,2376.560059,10835.28027,1641.02002
9/30/2010,2368.620117,10788.04981,1651.150024
10/1/2010,2370.75,10829.67969,1650.319946
10/4/2010,2344.52002,10751.26953,1635.26001
10/5/2010,2399.830078,10944.71973,1677.75
10/6/2010,2380.659912,10967.65039,1676.630005
10/7/2010,2383.669922,10948.58008,1669.829956
10/8/2010,2401.909912,11006.48047,1675.709961
10/11/2010,2402.330078,11010.33984,1668.609985
10/12/2010,2417.919922,11020.40039,1678.290039
10/13/2010,2441.22998,11096.08008,1693.02002
10/14/2010,2435.379883,11094.57031,1674.459961
10/15/2010,2468.77002,11062.78027,1657.75
10/18/2010,2480.659912,11143.69043,1692.599976
10/19/2010,2436.949951,10978.62012,1671.47998
10/20/2010,2457.389893,11107.96973,1672.359985
10/21/2010,2459.669922,11146.57031,1660.23999
10/22/2010,2479.389893,11132.55957,1665.23999
10/25/2010,2490.850098,11164.04981,1655.319946
10/26/2010,2497.290039,11169.45996,1665.560059
10/27/2010,2503.26001,11126.28027,1657.369995
10/28/2010,2507.370117,11113.9502,1647.920044
10/29/2010,2507.409912,11118.49023,1646.640015
11/1/2010,2504.840088,11124.62012,1622.060059
11/2/2010,2533.52002,11188.71973,1639.97998
11/3/2010,2540.27002,11215.12988,1660.849976
11/4/2010,2577.340088,11434.83984,1711.689941
11/5/2010,2578.97998,11444.08008,1720.170044
11/8/2010,2580.050049,11406.83984,1705.939941
11/9/2010,2562.97998,11346.75,1686.170044
11/10/2010,2578.780029,11357.04004,1721.27002
11/11/2010,2555.52002,11283.09961,1710.959961
11/12/2010,2518.209961,11192.58008,1680.969971
11/15/2010,2513.820068,11201.96973,1689.76001
11/16/2010,2469.840088,11023.5,1662.410034
11/17/2010,2476.01001,11007.87988,1649.349976
11/18/2010,2514.399902,11181.23047,1659.290039
11/19/2010,2518.120117,11203.54981,1657.77002
11/22/2010,2532.02002,11178.58008,1644.719971
11/23/2010,2494.949951,11036.37012,1631.329956
11/24/2010,2543.120117,11187.28027,1655.339966
11/26/2010,2534.560059,11091.87012,1636.47998
11/29/2010,2525.219971,11052.49023,1648.02002
11/30/2010,2498.22998,11006.01953,1631.530029
12/1/2010,2549.429932,11255.78027,1667.839966
12/2/2010,2579.350098,11362.41016,1707.709961
12/3/2010,2591.459961,11382.08984,1718.040039
12/6/2010,2594.919922,11362.19043,1721.339966
12/7/2010,2598.48999,11359.16016,1724.48999
12/8/2010,2609.159912,11372.48047,1749.599976
12/9/2010,2616.669922,11370.05957,1770.709961
12/10/2010,2637.540039,11410.32031,1791.76001
12/13/2010,2624.909912,11428.55957,1781.780029
12/14/2010,2627.719971,11476.54004,1780.579956
12/15/2010,2617.219971,11457.46973,1770.540039
12/16/2010,2637.310059,11499.25,1780.800049
12/17/2010,2642.969971,11491.91016,1780.47998
12/20/2010,2649.560059,11478.12988,1789.48999
12/21/2010,2667.610107,11533.16016,1817.530029
